type,name,module,line,snippet
top-level-arrow,$,00-runtime-foundation.js,17,"const $ = (s, root = document) => root.querySelector(s);"
top-level-arrow,$$,00-runtime-foundation.js,18,"const $$ = (s, root = document) => [...root.querySelectorAll(s)];"
top-level-arrow,clamp,00-runtime-foundation.js,19,"const clamp = (v, a, b) => Math.max(a, Math.min(b, v));"
top-level-arrow,lerp,00-runtime-foundation.js,20,"const lerp = (a, b, t) => a + (b - a) * t;"
top-level-arrow,approachNumber,00-runtime-foundation.js,21,"const approachNumber=(value,target,step)=>value<target?Math.min(target,value+Math.abs(step)):Math.max(target,value-Math.abs(step));"
top-level-arrow,lerpAngle,00-runtime-foundation.js,22,"const lerpAngle = (a, b, t) => { let d=((b-a+Math.PI)%(Math.PI*2))-Math.PI; if(d<-Math.PI)d+=Math.PI*2; return a+d*t; };"
top-level-arrow,distance2D,00-runtime-foundation.js,23,"const distance2D = (a, b) => Math.hypot(a.x - b.x, a.z - b.z);"
top-level-arrow,uid,00-runtime-foundation.js,24,const uid = () => (crypto.randomUUID ? crypto.randomUUID() : `p-${Date.now()}-${Math.random().toString(16).slice(2)}`);
top-level-arrow,safePointerCapture,00-runtime-foundation.js,25,"const safePointerCapture=(element,pointerId)=>{try{if(element?.setPointerCapture&&Number.isInteger(pointerId))element.setPointerCapture(pointerId);return true;}catch{return false;}};"
top-level-arrow,safePointerRelease,00-runtime-foundation.js,26,"const safePointerRelease=(element,pointerId)=>{try{if(element?.hasPointerCapture?.(pointerId))element.releasePointerCapture(pointerId);return true;}catch{return false;}};"
top-level-arrow,safeLocalGet,00-runtime-foundation.js,30,const safeLocalGet = key => { try { return window.localStorage?.getItem(key) ?? null; } catch { return null; } };
top-level-arrow,safeLocalSet,00-runtime-foundation.js,31,"const safeLocalSet = (key, value) => { try { window.localStorage?.setItem(key, value); return true; } catch { return false; } };"
top-level-arrow,safeLocalRemove,00-runtime-foundation.js,32,const safeLocalRemove = key => { try { window.localStorage?.removeItem(key); return true; } catch { return false; } };
top-level-arrow,configuredRoomIds,00-runtime-foundation.js,33,const configuredRoomIds = () => (window.OTTHI_CONFIG?.rooms || []).map(item => item.id);
top-level-arrow,normalizeRoomId,00-runtime-foundation.js,34,const normalizeRoomId = value => {
top-level-arrow,roomDisplayName,00-runtime-foundation.js,42,const roomDisplayName = value => {
function-declaration,safeAvatarId,00a-visual-foundation-avatar-v2.js,114,
function-declaration,safeAvatarColor,00a-visual-foundation-avatar-v2.js,118,
function-declaration,safeLegacyAvatarChoice,00a-visual-foundation-avatar-v2.js,122,
function-declaration,defaultAvatarV2,00a-visual-foundation-avatar-v2.js,126,
function-declaration,normalizeAvatarV2,00a-visual-foundation-avatar-v2.js,129,
function-declaration,updateAvatarV2LegacyChoice,00a-visual-foundation-avatar-v2.js,159,
function-declaration,registerVisualAsset,00a-visual-foundation-avatar-v2.js,190,
function-declaration,updateVisualAsset,00a-visual-foundation-avatar-v2.js,198,
function-declaration,visualAssetStatus,00a-visual-foundation-avatar-v2.js,201,
function-declaration,visualQualityProfile,00a-visual-foundation-avatar-v2.js,212,
function-declaration,createManagedLOD,00a-visual-foundation-avatar-v2.js,215,
function-declaration,applyVisualQualityBudget,00a-visual-foundation-avatar-v2.js,235,
function-declaration,updateManagedVisualLODs,00a-visual-foundation-avatar-v2.js,245,
function-declaration,outlineBelongsToPlayer,00a-visual-foundation-avatar-v2.js,256,
function-declaration,updateManagedOutlineVisibility,00a-visual-foundation-avatar-v2.js,264,
function-declaration,visualFoundationDiagnostics,00a-visual-foundation-avatar-v2.js,285,
function-declaration,createAvatarRigFoundation,00a-visual-foundation-avatar-v2.js,312,
function-declaration,avatarFoundationDiagnostics,00a-visual-foundation-avatar-v2.js,346,
function-declaration,stableBuildId,00a-visual-foundation-avatar-v2.js,365,
function-declaration,normalizeBuildRecord,01-build-persistence.js,371,
function-declaration,normalizeBuildList,01-build-persistence.js,378,
function-declaration,normalizeBuildTombstones,01-build-persistence.js,387,
function-declaration,mergeBuildTombstones,01-build-persistence.js,396,
function-declaration,applyBuildTombstones,01-build-persistence.js,397,
function-declaration,mergeBuildCollections,01-build-persistence.js,401,
function-declaration,mergeEntityCollections,01-build-persistence.js,404,
top-level-arrow,defaultState,01-build-persistence.js,435,const defaultState = () => ({
function-declaration,normalizeState,01-build-persistence.js,484,
function-declaration,loadState,02-state-save-cloud-account.js,542,
function-declaration,commitState,02-state-save-cloud-account.js,591,
function-declaration,saveState,02-state-save-cloud-account.js,608,
function-declaration,cloudProgressPayload,02-state-save-cloud-account.js,616,
function-declaration,syncCloudProgress,02-state-save-cloud-account.js,625,
function-declaration,mergeCloudProgress,02-state-save-cloud-account.js,629,
function-declaration,accountLinked,02-state-save-cloud-account.js,651,
function-declaration,accountPromptWasHandled,02-state-save-cloud-account.js,652,
function-declaration,accountStatusText,02-state-save-cloud-account.js,653,
function-declaration,syncGameAccount,02-state-save-cloud-account.js,670,
function-declaration,openAccountForm,02-state-save-cloud-account.js,725,
function-declaration,openAccountCenter,02-state-save-cloud-account.js,734,
function-declaration,openAccountLogoutGate,02-state-save-cloud-account.js,743,
function-declaration,addXP,02-state-save-cloud-account.js,750,
function-declaration,addCoins,03-ui-modal-install-pwa.js,761,
function-declaration,addReputation,03-ui-modal-install-pwa.js,765,
function-declaration,awardMedal,03-ui-modal-install-pwa.js,769,
function-declaration,setFlag,03-ui-modal-install-pwa.js,775,
function-declaration,showScreen,03-ui-modal-install-pwa.js,782,
function-declaration,toast,03-ui-modal-install-pwa.js,787,
function-declaration,vibrate,03-ui-modal-install-pwa.js,793,
function-declaration,beep,03-ui-modal-install-pwa.js,796,
function-declaration,openModal,03-ui-modal-install-pwa.js,811,
function-declaration,closeModal,03-ui-modal-install-pwa.js,826,
function-declaration,confirmModal,03-ui-modal-install-pwa.js,844,
function-declaration,updateInstallUI,03-ui-modal-install-pwa.js,858,
top-level-arrow,isStandalone,03-ui-modal-install-pwa.js,865,const isStandalone = () => window.matchMedia?.('(display-mode: standalone)').matches || navigator.standalone === true || safeLocalGet('otthos_installed') === '1';
function-declaration,isOfficialOtthiGameAddress,03-ui-modal-install-pwa.js,906,
function-declaration,localDateKey,03-ui-modal-install-pwa.js,1033,
function-declaration,daysBetween,03-ui-modal-install-pwa.js,1034,
function-declaration,ensureDailyChallenges,03-ui-modal-install-pwa.js,1035,
