function,module,description,startLine,endBoundaryLine,bodyBoundarySha256,callOccurrences,if,else,switch,case,for,while,catch,return,throw,ternaryTokensApprox,calls
safeAvatarId,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",114,117,45126324123e9e9a86c9f3fb3d810ea9452b8fb3b5ca658085a8a58e255c3fb9,0,0,0,0,0,0,0,0,1,0,3,
safeAvatarColor,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",118,121,c2822e0999a9c3792ac511826222f9987a0666887eba112af43853855d954d33,0,0,0,0,0,0,0,0,1,0,3,
safeLegacyAvatarChoice,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",122,125,235971db86fe7b5884605c359eb9031e30382cc703d6e6bbec9cd7a789c668a9,0,0,0,0,0,0,0,0,1,0,1,
defaultAvatarV2,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",126,128,2ab964d9359bf4e8ddb27a45ad4bc2b29bb90a6619d420dfcd177cbf22937576,0,0,0,0,0,0,0,0,1,0,0,
normalizeAvatarV2,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",129,158,c2300542ac6bda66d3a02ff1560ce8b91f1b41200ede958efc002eda8fa214e4,17,0,0,0,0,0,0,0,1,0,2,safeAvatarColor | safeAvatarId | safeLegacyAvatarChoice
updateAvatarV2LegacyChoice,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",159,189,f733f1db3af71210acc938f81717cbf2181ab4d76638f64a84ef78ca0093bdd0,3,3,0,0,0,0,0,0,2,0,1,normalizeAvatarV2 | safeLegacyAvatarChoice
registerVisualAsset,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",190,197,e23358da58372d48366eb6bba0de9e9cd8b09abbb331ec677b69c8c0b0e2280e,0,1,0,0,0,0,0,0,2,0,4,
updateVisualAsset,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",198,200,8fa913db3dc01a8037864368cdbb51d3dcd578279bb81c981d7fa5425978acd7,1,0,0,0,0,0,0,0,1,0,0,registerVisualAsset
visualAssetStatus,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",201,211,a0ea6af3dee18751b4d5a3d6141eff01463cc5ec4f981c8b0bb21d335d3caef0,0,0,0,0,0,1,0,0,1,0,0,
visualQualityProfile,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",212,214,291bc7d82520f08b2abb44d33de3714c62f702ed75a734b1502fae81269ab14b,0,0,0,0,0,0,0,0,1,0,0,
createManagedLOD,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",215,234,35bae4923b88ca77aac32a4c2e88d350f56942eeba64eb9e7bfd20ab64f17ca2,2,2,0,0,0,0,0,0,3,0,1,registerVisualAsset
applyVisualQualityBudget,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",235,244,173fd81169fb27840bc0bd004df802ce4c3bd692ffbd5ab8ef09b40a27d03949,1,1,0,0,0,1,0,0,1,0,3,visualQualityProfile
updateManagedVisualLODs,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",245,255,242b329bd8b43df7ac105a7413da43a63fcd6ccb8fd82df83bb8f020c28bcb60,1,1,0,0,0,1,0,1,1,0,2,updateVisualAsset
outlineBelongsToPlayer,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",256,263,7a4bc8a8069662beffde1700dc2c0d5d49fc9d06fd27b77337b013098b457b09,0,1,0,0,0,0,1,0,2,0,1,
updateManagedOutlineVisibility,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",264,284,5c6c620776eed04d6ed3318b1324593d16618c896c9f1b74fa9b69a64e888b19,2,4,1,0,0,1,0,0,1,0,3,outlineBelongsToPlayer | visualQualityProfile
visualFoundationDiagnostics,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",285,311,eca8b3b84136ff29c4b01074f373cd25c6bf6fab51063093ad5baf88515cb69d,1,1,1,0,0,1,0,0,1,0,4,visualAssetStatus
createAvatarRigFoundation,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",312,345,d0caf2d8d6af824e819d67283d811c0c32db0e7eb1956de0b3d3b9666c5a3cb4,1,7,0,0,0,0,0,0,3,0,1,registerVisualAsset
