function,module,description,sourceStartLine,sourceEndLineApprox,callCountApprox,if,else,switch,case,for,while,catch,ternaryApprox,calledByBody
safeAvatarId,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",116,119,0,0,0,0,0,0,0,0,3,
safeAvatarColor,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",120,123,0,0,0,0,0,0,0,0,3,
safeLegacyAvatarChoice,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",124,127,0,0,0,0,0,0,0,0,1,
defaultAvatarV2,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",128,130,0,0,0,0,0,0,0,0,0,
normalizeAvatarV2,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",131,160,17,0,0,0,0,0,0,0,2,safeAvatarColor | safeAvatarId | safeLegacyAvatarChoice
updateAvatarV2LegacyChoice,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",161,191,3,3,0,0,0,0,0,0,1,normalizeAvatarV2 | safeLegacyAvatarChoice
registerVisualAsset,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",192,199,0,1,0,0,0,0,0,0,4,
updateVisualAsset,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",200,202,1,0,0,0,0,0,0,0,0,registerVisualAsset
visualAssetStatus,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",203,213,0,0,0,0,0,1,0,0,0,
visualQualityProfile,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",214,216,0,0,0,0,0,0,0,0,0,
createManagedLOD,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",217,236,2,2,0,0,0,0,0,0,1,registerVisualAsset
applyVisualQualityBudget,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",237,246,1,1,0,0,0,1,0,0,3,visualQualityProfile
updateManagedVisualLODs,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",247,257,1,1,0,0,0,1,0,1,2,updateVisualAsset
outlineBelongsToPlayer,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",258,265,0,1,0,0,0,0,1,0,1,
updateManagedOutlineVisibility,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",266,286,2,4,1,0,0,1,0,0,3,outlineBelongsToPlayer | visualQualityProfile
visualFoundationDiagnostics,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",287,313,1,1,1,0,0,1,0,0,4,visualAssetStatus
createAvatarRigFoundation,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",314,347,1,7,0,0,0,0,0,0,1,registerVisualAsset
avatarFoundationDiagnostics,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",348,368,1,0,0,0,0,0,0,0,11,registerVisualAsset
stableBuildId,01-build-persistence.js,"Normalização, merge, tombstones e persistência das construções",369,374,0,0,0,0,0,1,0,0,0,
normalizeBuildRecord,01-build-persistence.js,"Normalização, merge, tombstones e persistência das construções",375,381,1,2,0,0,0,0,0,0,1,stableBuildId
normalizeBuildList,01-build-persistence.js,"Normalização, merge, tombstones e persistência das construções",382,390,1,2,0,0,0,0,0,0,1,normalizeBuildRecord
normalizeBuildTombstones,01-build-persistence.js,"Normalização, merge, tombstones e persistência das construções",391,399,0,3,0,0,0,0,0,0,3,
mergeBuildTombstones,01-build-persistence.js,"Normalização, merge, tombstones e persistência das construções",400,400,1,0,0,0,0,0,0,0,0,normalizeBuildTombstones
applyBuildTombstones,01-build-persistence.js,"Normalização, merge, tombstones e persistência das construções",401,404,2,0,0,0,0,0,0,0,0,normalizeBuildList | normalizeBuildTombstones
mergeBuildCollections,01-build-persistence.js,"Normalização, merge, tombstones e persistência das construções",405,407,2,0,0,0,0,0,0,0,0,applyBuildTombstones | normalizeBuildList
